Id,REFID,Code,Category,LocalName,EnglishName,ScientificName,FrenchNames,Source,ENERGY_kJ,ENERGY_kcal,WATER_g,PROTEIN_g,FAT_g,CHO_g,FIB_g,ASH_g,Ca_mg,Fe_mg,Mg_mg,P_mg,K_mg,Na_mg,Zn_mg,Cu_mg,Mn_mg,VIT_A_RAE_mcg,RETOL_mcg,CARTB_mcg,VITDEQ_mcg,VITE_mg,THIA_mg,RIBF_mg,NIAEQ_mg,VIT_B6_mg,FOL_mcg,VITB12_mcg,VITC_mg,SearchName
149,40,05_30_01,Vegetables and Products,,"Pumpkin , raw",Cucurbita pepo,,001,135.2,31.9,91.6,1,0.1,6.5,0.5,0.8,21,0.8,12,44,340,1,0.32,0.127,0.125,426,,3100,,1.06,0.05,0.11,0.6,0.061,16,,9,"Pumpkin , raw   Cucurbita pepo"
150,41,05_31_01,Vegetables and Products,Isapa(Yoruba),"Roselle , Fresh, raw",Hibiscus sabdariffa,,001,232.27,54.84,86.58,0.96,0.64,11.31,,0.51,215,1.48,51,37,208,6,,,,14,,,,,0.011,0.028,0.31,,,,12,"Roselle , Fresh, raw  Isapa(Yoruba) Hibiscus sabdariffa"
151,43,05_32_01,Vegetables and Products,"Tumatur(Hausa), Tomati(Yoruba)","Tomato , Red, ripe,Raw, year round average",Solanum lycopersicum,,"001,085",114.2,27,94,1,0.2,5,0.6,0.5,29,1.7,11,62,,,0.17,0.059,0.114,42,,449,,0.54,0.037,0.019,0.7,0.08,15,,50,"Tomato , Red, ripe,Raw, year round average  Tumatur(Hausa), Tomati(Yoruba) Solanum lycopersicum"
152,44,05_32_02,Vegetables and Products,,"Tomato ,Red, ripe, canned, packed in tomato juice",,,001,96.87,23.09,94.75,0.79,0.25,3.47,1.9,0.74,33,0.57,10,17,191,115,0.12,0.052,0.068,20,,245,,0.59,0.575,0.055,0.712,0.111,8,,12.6,"Tomato ,Red, ripe, canned, packed in tomato juice"
153,45,05_33_01,Vegetables and Products,Amunu tutu(Yoruba),"Tree Spinach, Raw",Cnidoscolus aconitifolius,,"025,062",212.898,50.668,83.94,5.14,0.498,4.59,3.635,2.848,93.43,1.64,16.29,66.912,177.885,173,1.31,1.22,,,,,,,,,,,,,30.92,"Tree Spinach, Raw  Amunu tutu(Yoruba) Cnidoscolus aconitifolius"
154,46,05_33_02,Vegetables and Products,,"Tree Spinach, Cooked",,,"062,148",173.917,41.247,85.652,5.63,0.49,2.81,1.538,2.22,112.077,13.047,42.6,37.365,224.333,168.5,,,,,,,,,,,,,,,133.75,"Tree Spinach, Cooked"
155,48,05_34_01,Vegetables and Products,Ganyen anduga(Hausa),"Silk Cotton Leaf, Raw",Ceiba petandra,,068,269.81,64.1,80.9,3.85,0.78,8.78,3.28,2.41,119.38,34.63,102.48,112.99,183.4,68.93,12.95,0.49,0.61,,,330.7,,,3.49,0.19,5.76,2.27,,0.024,36.41,"Silk Cotton Leaf, Raw  Ganyen anduga(Hausa) Ceiba petandra"
156,49,05_35_01,Vegetables and Products,Editan (Efik/Ibibio),Lasianthera africana,Lasianthera africana,,"067,214,204",248.64,59.347,80.517,4.627,1.627,5,3.1,2.13,185.735,7.3,42.515,41.33,221.6,140.035,5.4,3.23,2.23,,,646.4,,,,,,,,,35.19,Lasianthera africana  Editan (Efik/Ibibio) Lasianthera africana
157,50,05_36_01,Vegetables and Products,,"Scent leaf,raw,fresh",Ocimum grattisimum,,"214,190,154",392.913,93.613,73.483,8.48,1.197,8.783,6.895,4.233,,1.005,,209,319.61,50.37,1.09,0.05,,,,13333.33,,,,,,,,,18.64,"Scent leaf,raw,fresh   Ocimum grattisimum"
158,51,05_37_01,Vegetables and Products,,Fresh guava leaves,Citrullus vulgaris,,153,551.9,130.25,55,1.75,1.33,27.82,,4.5,21.43,,55.96,28.46,2.68,2.48,,16.29,,,,,,,,,,,,,189,Fresh guava leaves   Citrullus vulgaris
159,1,06_02_01,Fruits,"Ube (Igbo), eben (efik)",African Pear Pulp Fresh,Dacryodes edulis,,"042,156,209,211",1079.8,259.615,65.25,7.38,18.375,15.585,1.19,1.21,47.25,6.01,41,36.75,279.5,14.65,0.83,0.855,1.5,,,63.56,,,,0.12,0.37,,,,13.45,"African Pear Pulp Fresh  Ube (Igbo), eben (efik) Dacryodes edulis"
160,2,06_03_01,Fruits,"Udala/udara (Igbo), agbalumo (Yoruba)",African Star Apple  (Combined Varieties),Chrysophyllum albidum,,"188,048",447.258,107.192,72.718,4,4.925,9.567,4.3,1.87,391,2.253,181.167,218.5,682.58,43.333,8.253,5.707,4.983,,,340.19,,,1.403,0.873,1.503,1.637,,,73.618,"African Star Apple  (Combined Varieties)  Udala/udara (Igbo), agbalumo (Yoruba) Chrysophyllum albidum"
161,5,06_04_01,Fruits,"Udarra(Igbo), Apu(Yoruba)","Apple , Red delicious, Raw, with skin",Malus domestica,,"001,027",269.41,63.72,85.33,0.27,0.2,14.06,2.3,0.14,6,0.11,5,12,104,1,0.04,0.027,0.034,3,,27,,0.24,0.015,0.025,0.075,0.034,3,,,"Apple , Red delicious, Raw, with skin  Udarra(Igbo), Apu(Yoruba) Malus domestica"
162,6,06_05_01,Fruits,"Ube bekee(Igbo), Eben Mbakara(Ibibio)","Avocado , Raw, all commercial varieties",Persea americana,,001,775.03,187.46,73.23,2,14.66,8.53,6.7,1.58,12,0.55,29,52,485,7,0.64,0.19,0.142,7,,62,,2.07,0.067,0.13,1.738,0.257,81,,10,"Avocado , Raw, all commercial varieties  Ube bekee(Igbo), Eben Mbakara(Ibibio) Persea americana"
163,8,06_07_01,Fruits,,"Baobab Fruit Pulp,  Raw",Adansonia spp,,"054,002",1227.3,291.2,30.1,1.9,6.1,54.5,5.35,1.8,37.4,7.7,33.6,18.75,429,415,0.06,0.05,0.2,6,,70,,,,0.06,2.1,0.02,,,247,"Baobab Fruit Pulp,  Raw   Adansonia spp"
164,11,06_08_01,Fruits,,"Tangerine(mandarin Oranges), Raw",Citrus reticulata,,"085,001",199.8,47.2,88,0.6,0.4,10,0.6,0.5,28,0.1,,17,150,2,0.07,0.042,0.039,34,,730,,0.2,0.02,0.03,0.2,0.078,37,,46,"Tangerine(mandarin Oranges), Raw   Citrus reticulata"
165,12,06_08_02,Fruits,Lemu daci (Hausa),"Citrus, grape fruit/shaddock",Citrus paradisi,,085,175.1,41.3,90,0.8,0.1,9,0.6,0.5,21,0.6,,18,155,5,,,,,,250,,,0.05,0.03,,,,,44,"Citrus, grape fruit/shaddock  Lemu daci (Hausa) Citrus paradisi"
166,13,06_08_03,Fruits,"Lemu tsami(Hausa), Oloma nkilisi (Igbo), Osan wewe (Yoruba)",Lime raw,Citrus limonum/C. aurantifolia,,"085,001",181.4,43,90,0.6,0.8,8,0.7,0.4,19,0.7,,21,150,5,0.11,0.065,0.008,2,,8,,0.22,0.03,0.02,0.3,0.043,8,,45,"Lime raw  Lemu tsami(Hausa), Oloma nkilisi (Igbo), Osan wewe (Yoruba) Citrus limonum/C. aurantifolia"
167,14,06_08_04,Fruits,Osan(Yoruba),"Orange, all commercial varieties",Citrus sinesis,,"027,001",239.37,56.64,86.75,0.94,0.12,11.75,2.4,0.44,40,0.1,10,14,181,,0.07,0.045,0.025,11,,373.8,,0.18,0.087,0.04,0.282,0.06,30,,51.9,"Orange, all commercial varieties  Osan(Yoruba) Citrus sinesis"
168,17,06_11_01,Fruits,"Guaiba (Hausa), Girofa(Yoruba), Woba(Ibibio)","Guava, ripe, whole",Psidium guajava,,"085,001",347.9,82.6,82,1.1,0.4,16,5.3,0.6,24,1.3,22,31,50,1.4,0.23,0.23,0.15,31,,290,,,0.06,0.05,1.3,0.11,7,,326,"Guava, ripe, whole  Guaiba (Hausa), Girofa(Yoruba), Woba(Ibibio) Psidium guajava"
169,18,06_12_01,Fruits,Iyeye (Yoruba),"Hog Plum Fruit pulp, fresh",Spondias mombin,,"026,041,178,161",316.008,75.267,82.025,2.133,1.833,10.975,3.167,0.925,29.4,3.025,429.5,35.575,233.45,315,0.167,0.575,0.2,,,77.967,,,,0.07,0.5,,,,34.333,"Hog Plum Fruit pulp, fresh  Iyeye (Yoruba) Spondias mombin"
170,19,06_14_01,Fruits,,"Indian Almond, raw",Terminalia catappa,,069,1869.17,445.51,9.22,9.4,18.99,58.74,1.02,1.54,124.89,7.01,432.29,563.59,,,8.18,,,,,,,,,,,,,,,"Indian Almond, raw   Terminalia catappa"
171,20,06_15_01,Fruits,"Mangoro(Yoruba), Mankoro (Ibibio)","Mango,pulp,ripe,fresh",Magnifera indica,,"187,002,085",323.979,76.823,79.448,1.472,1.295,13.92,1.8,0.4,10,0.5,9,13,190,7,0.11,0.06,,168,,1200,,1.05,0.03,0.04,,0.11,7,,34.144,"Mango,pulp,ripe,fresh  Mangoro(Yoruba), Mankoro (Ibibio) Magnifera indica"
172,22,06_18_01,Fruits,"Gwanda(Hausa), Okwuru oru(Igbo), Ibepe(Yoruba), Bobo(Ibibio)","Pawpaw, ripe, pulp",Carica papaya,,085,292.9,69.8,85,4.1,0.6,9,6,3.9,15.8,0.4,19,7.4,220,4,0.12,0.02,,80,,300,,,0.04,0.03,,0.02,45,,112,"Pawpaw, ripe, pulp  Gwanda(Hausa), Okwuru oru(Igbo), Ibepe(Yoruba), Bobo(Ibibio) Carica papaya"
173,23,06_18_02,Fruits,,"Paw paw,unripe,peeled",Carica papaya,,197,1217.46,287.01,26.07,12.49,1.11,55.82,1.89,3.45,22,0.28,22.33,11.17,199.33,4.23,0.07,,0.03,,,,,,,,,,,,,"Paw paw,unripe,peeled   Carica papaya"
174,24,06_19_01,Fruits,"Abarba(Hausa), Ukwu mbaa(Igbo), Ope oyiinbo(Yoruba), Banebot(Ibibio)","Pineapple,pulp, peeled",Ananas comosus,,"085,001,027",226.54,53.48,84,0.5,0.12,12,1.2,0.22,12,0.4,12,8,250,2,0.12,0.11,0.927,3,,60,,0.02,0.08,0.02,,0.112,18,,25,"Pineapple,pulp, peeled  Abarba(Hausa), Ukwu mbaa(Igbo), Ope oyiinbo(Yoruba), Banebot(Ibibio) Ananas comosus"
175,26,06_22_01,Fruits,"Kankana(Hausa), Eso-bara(Yoruba)","Water Melon , Raw(edible portion)",C itrullus lanatus,,"164,196,001",131.152,30.964,91.846,0.556,0.24,6.5,0.29,0.59,7,0.24,10,11,112,1,0.1,0.042,0.038,28,,303,,0.05,0.033,0.021,0.178,0.045,3,,8.1,"Water Melon , Raw(edible portion)  Kankana(Hausa), Eso-bara(Yoruba) C itrullus lanatus"
176,1,07_01_01,Sugars and syrups and Sweets,"Zuma(Hausa), Mmanu anu(Igbo), Oyin(Yoruba), Adang ukwok(Ibibio)",Honey,,,"001,165",1418.2,333.8,20.6,0.3,0.3,82.4,0.15,0.16,6,0.42,2,4,52,4,0.22,0.036,0.08,,,,,,,0.038,,0.024,2,,0.32,"Honey  Zuma(Hausa), Mmanu anu(Igbo), Oyin(Yoruba), Adang ukwok(Ibibio)"
177,2,07_02_01,Sugars and syrups and Sweets,"Sukari(Hausa), Oto biribiri(Igbo), Suga(Yoruba), Suka(Ibibio)","Sugar, Granulated",,,001,1699.66,399.92,0.02,,,99.98,,0.01,1,0.5,,,2,1,0.01,0.007,0.004,,,,,,,0.019,,,,,,"Sugar, Granulated  Sukari(Hausa), Oto biribiri(Igbo), Suga(Yoruba), Suka(Ibibio)"
178,3,07_03_01,Sugars and syrups and Sweets,"Reke(Hausa), Okpote(Igbo), Ireke(Yoruba), Mboko (Efik/Ibibio)","Sugarcane,stem,fresh,peeled",Saccharum officinarum,,201,378.28,90.13,71.91,0.9,0.47,16.39,8.37,1.87,0.32,0.02,1.6,0.05,0.64,0.04,,,,,,,,,,,,,,,,"Sugarcane,stem,fresh,peeled  Reke(Hausa), Okpote(Igbo), Ireke(Yoruba), Mboko (Efik/Ibibio) Saccharum officinarum"
179,1a,08_01_01,Meat and Poultry,Ponmo(Yoruba),"Cow, Skin, raw",Bos taurus,,055,91.8,21.6,48.5,5.4,,,,,48.9,31.6,93,205,670,,7.8,1.1,3.1,,,,,,,,,,,,,"Cow, Skin, raw  Ponmo(Yoruba) Bos taurus"
180,1b,08_01_02,Meat and Poultry,,"Cow skin, thick, boiled, no salt",,,213,953.39,224.65,43.9,46.9,1.09,6.8,0.02,1.2,61,4.3,12,7,36,3,6.79,0.18,1.29,,,,,,,,,,,,,"Cow skin, thick, boiled, no salt"
181,2,08_01_03,Meat and Poultry,,"Cow,  Brain, raw",,,001,583.57,140.34,76.29,10.86,10.3,1.05,,1.51,43,2.55,13,362,274,126,1.02,0.287,0.026,7,,88,,0.99,0.092,0.199,3.55,0.226,3,9.51,10.7,"Cow,  Brain, raw"
182,3,08_01_04,Meat and Poultry,,"Cow,  Heart, raw",,,001,465.72,110.74,77.11,17.72,3.94,1.1,,1.1,7,4.31,21,212,287,98,1.7,0.396,0.035,,,,,0.22,0.238,0.906,7.53,0.279,3,8.55,2,"Cow,  Heart, raw"
183,4,08_01_05,Meat and Poultry,,"Cow,  Kidney, raw",,,001,415.06,98.57,77.89,17.4,3.09,0.29,,1.33,13,4.6,17,257,262,182,1.92,0.426,0.142,419,419,,1.1,0.22,0.357,2.84,8.03,0.665,98,27.5,9.4,"Cow,  Kidney, raw"
184,5,08_01_06,Meat and Poultry,,"Cow,  liver, raw",,,001,546.56,129.67,70.81,20.36,3.63,3.89,,1.31,5,4.9,18,387,313,69,4,9.755,0.31,4968,4948,232,1.2,0.38,0.189,2.755,13.175,1.083,290,59.3,1.3,"Cow,  liver, raw"
185,6,08_01_07,Meat and Poultry,,"Cow,  lungs, raw",,,001,367.9,87.3,79.38,16.2,2.5,,,0.98,10,7.95,14,224,340,198,1.61,0.26,0.019,14,14,,,,0.047,0.23,4,0.04,11,3.81,38.5,"Cow,  lungs, raw"
186,7,08_01_08,Meat and Poultry,,"Cow,  tongue, raw",,,001,911.19,219.13,64.53,14.9,16.09,3.68,,0.8,6,2.95,16,133,315,69,2.87,0.17,0.026,,,,,,0.125,0.34,4.24,0.31,7,3.79,3.1,"Cow,  tongue, raw"
187,8,08_02_01,Meat and Poultry,Eran adiye(Yoruba),"Chicken, dark meat, Flesh, raw",Gallus gallus,,"002,085",565.1,134.7,72.9,20.4,5.9,,,1,11,1.1,24,194,276,84,1.36,0.05,,17,17,,0.2,0.26,0.09,0.16,7,0.36,16,0.4,,"Chicken, dark meat, Flesh, raw  Eran adiye(Yoruba) Gallus gallus"
188,9,08_02_02,Meat and Poultry,,"Chicken,Gizzard",,,"001,060",376.44,89.18,71.482,17.66,2.06,,,0.95,5.4,2.172,15,148,237,69,2.305,0.116,0.055,19,19,,,0.33,0.028,0.231,3.68,0.112,5,1.21,3.7,"Chicken,Gizzard"
189,10,08_02_03,Meat and Poultry,,"Chicken,  Heart",,,"001,060",621.63,149.01,69.965,15.55,9.33,0.71,,0.85,6.45,3.59,15,177,176,74,3.498,0.346,0.089,9,9,,,,0.152,0.728,4.883,0.36,72,7.29,3.2,"Chicken,  Heart"
190,11,08_02_04,Meat and Poultry,,"Chicken,  Liver",,,"001,060",478.76,114.07,70.09,16.92,4.83,0.73,,1.06,5.1,3.648,19,297,230,71,2.292,0.492,0.255,3296,3290,56,,0.7,0.305,1.778,9.728,0.853,588,16.58,17.9,"Chicken,  Liver"
191,12,08_02_05,Meat and Poultry,,Roasted chicken,,,"001,166",506.52,123.34,,,13.16,,2.45,319.16,,,,,,,,,0.019,16,16,,0.1,0.27,0.069,0.178,9.173,0.47,6,0.33,,Roasted chicken
192,13,08_03_01,Meat and Poultry,,"Duck, domesticated, Meat only, raw",Anas Platyrhynchos,,001,546.89,130.43,73.77,18.28,5.95,0.94,,1.06,11,2.4,19,203,271,74,1.9,0.253,0.019,24,24,,3,0.7,0.36,0.45,5.3,0.34,25,0.4,5.8,"Duck, domesticated, Meat only, raw   Anas Platyrhynchos"
193,14,08_04_01,Meat and Poultry,"Eran ewure(Yoruba), Ebot(Ibibio)","Goat,  Raw",Capre aegagrus hircus,,001,435.67,103.19,75.84,20.6,2.31,,,1.11,13,2.83,,180,385,82,4,0.256,0.038,,,,,,0.11,0.49,3.75,,5,1.13,,"Goat,  Raw  Eran ewure(Yoruba), Ebot(Ibibio) Capre aegagrus hircus"
194,15,08_05_01,Meat and Poultry,,"Guinea  Hen,  Meat and Skin, raw",Numida meleagris,,001,636.45,151.65,68.9,23.4,6.45,,,1.25,11,0.84,22,153,193,67,1.13,0.043,0.018,28,28,,,,0.059,0.102,7.667,0.38,5,0.34,1.3,"Guinea  Hen,  Meat and Skin, raw   Numida meleagris"
195,15b,08_05_02,Meat and Poultry,"Anu ogaxi (Igbo), Eran awo (Yoruba)","guinea fowl, breast",Numida spp.,,085,419.2,98.9,75,22.7,0.9,,,1.1,31,,,4900,2440,290,,,,,,,,,0.11,0.15,,,,13.2,,"guinea fowl, breast  Anu ogaxi (Igbo), Eran awo (Yoruba) Numida spp."
196,15c,08_05_03,Meat and Poultry,Eran awo (Yoruba),"guinea fowl, thigh",,,085,411.2,97.4,76,19.4,2.2,,,1.1,45,,,4300,3220,540,,,,,,,,,0.15,0.26,,,,,,"guinea fowl, thigh  Eran awo (Yoruba)"
197,16a,08_06_01,Meat and Poultry,Elede (Yoruba),"Pork, moderate fat",Sus scrofa,,085,1709.3,414.1,46,12.4,40.5,,,1,11,1.8,,174,,,,,,,,,,,,,,,,,,"Pork, moderate fat  Elede (Yoruba) Sus scrofa"
198,16b,08_06_02,Meat and Poultry,,"Pork, salted, dried, and boiled",,,213,2111.8,509.6,19.1,17.1,43.2,13.1,,6.9,247,17,50,11,150,95,2.25,0.3,0.61,,,,,,,,,,,,,"Pork, salted, dried, and boiled"
199,17,08_07_01,Meat and Poultry,,"Quail,  Meat and skin, raw",Coturnix coturnix,,001,779.56,186.97,69.65,19.63,12.05,,,0.9,13,3.97,23,275,216,53,2.42,0.507,0.019,73,73,,,,0.244,0.26,7.538,0.6,8,0.43,6.1,"Quail,  Meat and skin, raw   Coturnix coturnix"
200,18,08_07_02,Meat and Poultry,,"Quail,  Cooked, total edible",,,001,948.4,227.3,60,25.1,14.1,,,0.8,15,4.43,22,279,216,52,3.1,0.592,,70,70,,0.8,0.7,0.22,0.3,7.92,0.62,6,0.36,2.3,"Quail,  Cooked, total edible"
201,19,08_08_01,Meat and Poultry,,"Rabbit,  Domesticated, composite of cuts, raw",Oryctolagus cuniculus,,001,546.2,130.15,72.82,20.05,5.55,,,0.72,13,1.57,19,213,330,41,1.57,0.145,0.026,,,,,,0.1,0.15,7.27,0.5,8,7.16,,"Rabbit,  Domesticated, composite of cuts, raw   Oryctolagus cuniculus"
202,20,08_09_01,Meat and Poultry,,"Snail,  Raw",Cornu aspersum,,001,359.5,85,79.2,16.1,1.4,2,,1.3,10,3.5,250,272,382,70,1,0.4,,30,30,,,5,0.01,0.12,1.4,0.13,6,0.5,,"Snail,  Raw   Cornu aspersum"
203,21a,08_10_01,Meat and Poultry,,"Turkey,   Whole,meat and skin, raw",Meleagris gallopavo,,001,578.77,137.84,72.69,21.64,5.64,0.13,,0.98,11,0.86,25,183,224,112,1.78,0.077,0.012,17,17,,0.3,0.09,0.048,0.185,7.631,0.599,7,1.22,,"Turkey,   Whole,meat and skin, raw   Meleagris gallopavo"
204,21b,08_10_02,Meat and Poultry,,"Turkey,Gizzard,Raw",,,001,444.29,105.53,77.47,18.8,3.37,,,0.93,16,2.78,19,164,185,147,3.03,0.22,0.085,46,46,,0.5,0.22,0.061,0.327,6.233,0.198,6,3.61,6.2,"Turkey,Gizzard,Raw"
205,21c,08_10_03,Meat and Poultry,,"Turkey,Heart,raw",,,001,565.98,135.36,74.47,16.7,7.44,0.4,,0.99,18,3.7,21,183,179,129,3.21,0.488,0.102,82,80,23,0.4,0.31,0.165,1.13,6.44,0.479,,13.3,3,"Turkey,Heart,raw"
206,21d,08_10_04,Meat and Poultry,,"Turkey,Liver, raw",,,001,513.92,122.54,75.54,18.26,5.5,,,1.32,20,8.94,24,279,214,131,3.37,0.863,0.296,8058,8056,29,1.3,0.24,0.206,2.247,11.233,1.04,677,19.73,24.5,"Turkey,Liver, raw"
207,1,09_01_01,Egg and Products,"Kwayin kaza(Hausa), Akwa okuko(Igbo), Eyin adiye(Yoruba), Nkwa unen(Ibibio)","Chicken, Egg, Whole, raw, Fresh",,,"001,085,201",626.782,150.552,76.583,13.065,10.452,1.055,,1.29,62.8,2.188,12,235.325,152.975,158.2,1.563,0.072,0.028,160,255,300,2,1.05,0.1,0.378,0.075,0.17,47,1.295,,"Chicken, Egg, Whole, raw, Fresh  Kwayin kaza(Hausa), Akwa okuko(Igbo), Eyin adiye(Yoruba), Nkwa unen(Ibibio)"
208,2,09_01_02,Egg and Products,,"Chicken, Egg white, raw, fresh",,,001,204,48.05,87.57,10.9,0.17,0.73,,0.63,7,0.08,11,15,163,166,0.03,0.023,0.011,,,,,,0.004,0.439,0.105,0.005,4,,,"Chicken, Egg white, raw, fresh"
209,3,09_01_03,Egg and Products,,"Chicken, Eggyolk,raw, fresh",,,001,1312.63,316.66,52.31,15.86,26.54,3.59,,1.71,129,2.73,5,390,109,48,2.3,0.077,0.055,381,371,,5.4,2.58,0.176,0.528,0.024,0.35,146,1.95,,"Chicken, Eggyolk,raw, fresh"
210,4,09_01_04,Egg and Products,,"Chicken, Egg, whole cooked, hard boiled",,,"001,201",811.49,194.93,66.107,16.827,13.57,1.373,,2.193,82.8,2.03,10,294.7,184.733,189.933,1.817,0.013,0.026,149,148,11,2.2,1.03,0.066,0.513,0.064,0.121,44,1.11,,"Chicken, Egg, whole cooked, hard boiled"
211,5,09_02_01,Egg and Products,"Kwoi agwagwa(Hausa), Akwa ubagwu(Igbo), Eyin pepeye(Yoruba), Nkwa unen mbakaka(Ibibio)","Duck, Egg, Whole, fresh, raw",,,001,751.91,180.97,70.83,12.81,13.77,1.45,,1.14,64,3.85,17,220,222,146,1.41,0.062,0.038,194,192,14,1.7,1.34,0.156,0.404,0.2,0.25,80,5.74,,"Duck, Egg, Whole, fresh, raw  Kwoi agwagwa(Hausa), Akwa ubagwu(Igbo), Eyin pepeye(Yoruba), Nkwa unen mbakaka(Ibibio)"
212,6,09_03_01,Egg and Products,"Kwoi Barbawa(Hausa), Eyin aparo(Yoruba)","Quail, Egg, Whole, fresh, raw",,,"001,201",690.94,165.955,72.525,14.825,11.495,0.8,,1.05,72.25,4.475,13,272.3,152.25,160.05,1.835,0.062,0.038,156,155,11,1.4,1.08,0.13,0.79,0.15,0.15,66,1.58,,"Quail, Egg, Whole, fresh, raw  Kwoi Barbawa(Hausa), Eyin aparo(Yoruba)"
213,7,09_03_02,Egg and Products,,"Egg,quail,boiled without salt",,,201,751.5,180.5,69.3,16.6,12.5,0.4,,1.5,86.6,5.7,,335.8,184,189,2.3,,,,,,,,,,,,,,,"Egg,quail,boiled without salt"
214,8,09_04_01,Egg and Products,"Kwoi tolotolo(Hausa), Akwa torotoro(Igbo), Eyin tolotolo(Yoruba), Nsen-turkey (Efik)","Turkey, Egg,Whole, fresh, raw",,,"001,201",693.435,166.82,70.65,12.59,12.44,1.125,,3.095,212.1,10.4,13,434.7,339,354,4.18,0.062,0.038,166,166,,,,0.11,0.47,0.024,0.131,71,1.69,,"Turkey, Egg,Whole, fresh, raw  Kwoi tolotolo(Hausa), Akwa torotoro(Igbo), Eyin tolotolo(Yoruba), Nsen-turkey (Efik)"
215,9,09_04_10,Egg and Products,,"Egg,turkey,boiled without salt",,,201,942.8,227.1,61.2,14.9,17.9,1.6,,5.4,156.9,8.6,,365.7,274,278.6,3.5,,,,,,,,,,,,,,,"Egg,turkey,boiled without salt"
216,10,09_05_11,Egg and Products,"Eyin awo(Yoruba), Nsen-guinea fowl (Efik)","Egg,guinea fowl,raw",,,201,864.2,207.4,61.8,20.3,13.8,0.5,,4.2,102.8,7.2,,386.4,378.1,250.1,2.8,,,,,,,,,,,,,,,"Egg,guinea fowl,raw  Eyin awo(Yoruba), Nsen-guinea fowl (Efik)"
217,11,09_05_12,Egg and Products,,"Egg,guinea fowl,boiled without salt",,,201,1170.5,281,50.3,26.6,19,0.9,,4,139.1,9.6,,516.2,507.2,333.8,3.6,,,,,,,,,,,,,,,"Egg,guinea fowl,boiled without salt"
218,1,10_01_01,Fish and Prooducts,,"Barracuda,  Raw",Sphyraena  spp,,002,348.9,82.3,78.7,19,0.7,,,1.3,26,0.9,31,175,252,89,0.51,0.06,,7,7,,0.6,0.19,0.12,0.09,4.1,0.31,9,2.1,,"Barracuda,  Raw   Sphyraena  spp"
219,2,10_02_01,Fish and Prooducts,,"Cat fish, farmed, raw",Clarias gariepinus,,"001,061",515.94,123.175,75.615,17.395,5.845,,0.495,1.54,8,5.8,19,197.18,302,98,1.685,,160.02,,,,0.2,0.885,0.02,0.83,2.105,0.154,10,2.88,6.505,"Cat fish, farmed, raw   Clarias gariepinus"
220,3,10_02_02,Fish and Prooducts,,"Cat fish, wild, raw",Clarias gariepinus,,"001,056",382.8,90.9,79.23,16.38,2.82,,,,14,9.5,23,209,358,43,2.905,2.6,,15,,,12.5,,0.21,0.072,1.907,0.116,10,2.23,0.7,"Cat fish, wild, raw   Clarias gariepinus"
221,4a,10_02_03,Fish and Prooducts,"Tarwada(Hausa), Eja abori(Yoruba), Iyak idin(Ibibio)","Catfish, Fresh, raw",Heteroclarias Spp,,061,526.85,124.8,71.24,25.05,2.6,,0.6,1.1,191.25,13.32,186.82,180.86,,,4.34,,10.05,7.5,,,,1.14,,1.63,,,,,19.24,"Catfish, Fresh, raw  Tarwada(Hausa), Eja abori(Yoruba), Iyak idin(Ibibio) Heteroclarias Spp"
222,4b,10_02_04,Fish and Prooducts,,"Catfish, Fresh, raw",Heterobranchus bidorsalis,,061,439.58,104.43,75.62,18.2,3.05,0.61,0.87,1.65,166.43,10.66,155.76,164.6,,,1.68,,155.76,3,,,,0.97,,1.85,,,,,18.01,"Catfish, Fresh, raw   Heterobranchus bidorsalis"
223,6,10_04_01,Fish and Prooducts,"Karguwa(Hausa), Alakan (Yoruba), Isobo(Ibibio)","Crab, meat, dried",Cardisoma armatum,,089,851.44,202.89,9.6,33.3,5.35,1.23,8.31,42.23,2157.86,27.95,51.66,360.23,367.19,297.8,15.23,57.83,0.39,,,,,,,,,,,,,"Crab, meat, dried  Karguwa(Hausa), Alakan (Yoruba), Isobo(Ibibio) Cardisoma armatum"
224,7,10_05_01,Fish and Prooducts,,"Crayfish,Dried",Cambarus spp,,"203,210,217",1406.207,332.51,12,67.26,5.457,3.45,0.28,15.323,3760,28.6,1100,1310,1760,,0.16,0.25,0.275,,,,,,1567,1149,,,,,10,"Crayfish,Dried   Cambarus spp"
225,15,10_14_01,Fish and Prooducts,Iyak (Efik/Ibibio),"Electric fish,flesh,raw",Malapterurus electricus,,208,882.35,211.08,54.97,18.35,10.82,8.86,2.43,4.57,,,,,,,,,,,,,,,,,,,,,,"Electric fish,flesh,raw  Iyak (Efik/Ibibio) Malapterurus electricus"
226,8a,10_06_01,Fish and Prooducts,Ukop(Ibibio),"Lobster, raw",Jasus spp,,085,373.1,88.2,78,17.9,1.4,1,,1.2,62,0.8,,280,260,330,,,,,,,,,0.1,0.1,,,,1,,"Lobster, raw  Ukop(Ibibio) Jasus spp"
227,8b,10_06_02,Fish and Prooducts,,"Lobster, cooked",,,085,501.5,119,72,22.1,3.4,,,,58,1,,230,500,182,,,,,25,5,,,0.01,0.1,,,,,2,"Lobster, cooked"
228,9a,10_07_01,Fish and Prooducts,Alaran (Yoruba),"Mackrel, Fresh,Raw",Scomber scombrus,,,513.95,122.4,66.667,19.35,5,,,1.4,26,5.733,33,225,403,59,1.745,1.745,,,,,,,,,,,,,,"Mackrel, Fresh,Raw  Alaran (Yoruba) Scomber scombrus"
